iter	Passed	Remaining
0	5213	2601649
1	7308	1819706
2	9403	1557884
3	11505	1426705
4	13626	1349053
5	16986	1398590
6	19599	1380370
7	21725	1336095
8	23836	1300395
9	25932	1270695
10	28050	1246956
11	31243	1270582
12	34018	1274383
13	36123	1253990
14	39239	1268745
15	42152	1275124
16	44990	1278262
17	48130	1288818
18	50206	1271024
19	52303	1255289
20	54384	1240492
21	56451	1226531
22	59212	1228007
23	62492	1239438
24	64597	1227343
25	66668	1215423
26	68750	1204414
27	70816	1193767
28	73328	1190958
29	76630	1200548
30	78934	1194209
31	81003	1184678
32	83080	1175714
33	85172	1167361
34	87259	1159302
35	90584	1167530
36	93139	1165506
37	95219	1157669
38	97279	1149890
39	99361	1142656
40	101430	1135522
41	104646	1141142
42	107385	1141280
43	109468	1134496
44	111538	1127773
45	113645	1121628
46	115719	1115341
47	118672	1117503
48	121682	1119977
49	123807	1114269
50	125907	1108475
51	127993	1102715
52	130081	1097099
53	132868	1097396
54	136106	1101228
55	138203	1095752
56	140291	1090335
57	142405	1085227
58	144507	1080134
59	147087	1078644
60	150369	1082170
61	152601	1078057
62	154729	1073282
63	156841	1068484
64	158929	1063604
65	161136	1059597
66	164492	1063065
67	166955	1060657
68	169043	1055909
69	171115	1051137
70	173235	1046731
71	175320	1042181
72	178589	1044626
73	181189	1043062
74	183268	1038522
75	185382	1034240
76	187459	1029810
77	189569	1025616
78	192959	1028304
79	196828	1033349
80	199471	1031831
81	201544	1027383
82	203613	1022971
83	205709	1018751
84	207996	1015512
85	211478	1018049
86	213750	1014698
87	215853	1010586
88	217938	1006433
89	220026	1002341
90	222185	998612
91	225562	1000321
92	228092	998209
93	230197	994257
94	232319	990413
95	234408	986469
96	236506	982599
97	239704	983276
98	242537	982399
99	244648	978593
100	246787	974933
101	248891	971163
102	250954	967273
103	253971	967044
104	256901	966439
105	258971	962593
106	261031	958743
107	263088	954914
108	265166	951192
109	268005	950200
110	271122	950149
111	273215	946495
112	275309	942873
113	277369	939163
114	279453	935560
115	282157	934037
116	285313	933973
117	287410	930430
118	289478	926819
119	291557	923266
120	293660	919812
121	296203	917746
122	299689	918560
123	301769	915043
124	303861	911585
125	305960	908169
126	308033	904697
127	310322	901876
128	313453	901482
129	315830	898901
130	317929	895540
131	320033	892214
132	322136	888901
133	324287	885740
134	327734	886096
135	330207	883790
136	332295	880460
137	334391	877171
138	336494	873917
139	338591	870663
140	341925	870575
141	344632	868862
142	347846	868399
143	350772	867188
144	352849	863871
145	355916	862975
146	358888	861819
147	360980	858548
148	363062	855267
149	365113	851931
150	367184	848657
151	370034	847183
152	373211	846434
153	375289	843182
154	377382	839979
155	379474	836790
156	381568	833617
157	384234	831696
158	387555	831173
159	389649	828005
160	391744	824854
161	393799	821630
162	395889	818495
163	398461	816361
164	401951	816083
165	404028	812924
166	406124	809817
167	408216	806712
168	410318	803642
169	412673	801072
170	416138	800639
171	418405	797889
172	420489	794797
173	422602	791772
174	424694	788718
175	426966	786006
176	430460	785529
177	432963	783225
178	435085	780237
179	437222	777283
180	439353	774329
181	441681	771728
182	445010	770865
183	447573	768659
184	449671	765657
185	451764	762656
186	453843	759642
187	455944	756674
188	459058	755382
189	461985	753765
190	464088	750802
191	466199	747861
192	468299	744912
193	470402	741975
194	473447	740520
195	476485	739038
196	478575	736082
197	480718	733217
198	482838	730323
199	484947	727421
200	487898	725778
201	491061	724437
202	493165	721527
203	495247	718594
204	497364	715719
205	499934	713498
206	503756	713046
207	507338	712225
208	509442	709319
209	511556	706435
210	513639	703515
211	515722	700604
212	518434	698547
213	521841	697414
214	523935	694518
215	526020	691619
216	528126	688754
217	530219	685879
218	532834	683682
219	536310	682576
220	538392	679689
221	540482	676820
222	542610	674005
223	544713	671164
224	547302	668925
225	550755	667729
226	552865	664900
227	554952	662048
228	557068	659238
229	559162	656408
230	561438	653796
231	564922	652582
232	567228	650000
233	569325	647182
234	571427	644375
235	573591	641644
236	575817	638986
237	579348	637769
238	581842	635401
239	583945	632607
240	586025	629795
241	588116	627000
242	590203	624207
243	593517	622707
244	596000	620327
245	598074	617523
246	600154	614733
247	602232	611946
248	604306	609159
249	607413	607413
250	610300	605437
251	612374	602653
252	614464	599892
253	616565	597146
254	618656	594395
255	621556	592420
256	624656	590628
257	626758	587889
258	628856	585152
259	630947	582412
260	633179	579807
261	635977	577719
262	639077	575898
263	641179	573175
264	643283	570459
265	645373	567734
266	647467	565018
267	650291	562938
268	654295	561867
269	657793	560342
270	659874	557606
271	661974	554890
272	664076	552180
273	666263	549545
274	669946	548137
275	672491	545790
276	674607	543095
277	676707	540391
278	678832	537712
279	680929	535015
280	684188	533228
281	686971	531063
282	689046	528350
283	691158	525670
284	693239	522970
285	695350	520297
286	698385	518314
287	701399	516308
288	703505	513632
289	705605	510955
290	707706	508283
291	709803	505613
292	712572	503421
293	715797	501544
294	717883	498867
295	719990	496209
296	722075	493539
297	724162	490875
298	726831	488605
299	730261	486841
300	732350	484178
301	734461	481534
302	736558	478884
303	738657	476239
304	741001	473755
305	744319	471888
306	746567	469340
307	748632	466679
308	750715	464034
309	752799	461393
310	754968	458807
311	758330	456942
312	760871	454577
313	762964	451947
314	765078	449331
315	767194	446720
316	769277	444094
317	772554	442153
318	775281	439893
319	777363	437266
320	779466	434655
321	781605	432067
322	783705	429461
323	786759	427375
324	789754	425252
325	791851	422644
326	793953	420042
327	796078	417456
328	798158	414848
329	801057	412665
330	804877	410949
331	808258	408998
332	810342	406388
333	812430	403783
334	814528	401185
335	816870	398710
336	820363	396792
337	822648	394287
338	824733	391687
339	826859	389110
340	828942	386515
341	831141	383977
342	834431	381940
343	836915	379531
344	839019	376950
345	841128	374374
346	843214	371792
347	845297	369210
348	848689	367197
349	851312	364848
350	853433	362283
351	855502	359700
352	858745	357608
353	861366	355252
354	864778	353219
355	866855	350638
356	868962	348071
357	871063	345505
358	873147	342935
359	875656	340533
360	879020	338459
361	881120	335896
362	883205	333330
363	885290	330768
364	887393	328214
365	889967	325834
366	893454	323785
367	895566	321235
368	897655	318679
369	899759	316131
370	901865	313586
371	904263	311144
372	907698	309055
373	909966	306566
374	912055	304018
375	914142	301472
376	916257	298938
